productType;productSubtype;family;quantity
NP;CIP;Tok;1
NP;CIP;TokFed;1
NP;CIP;Zaro;1
NP;CIP;Lab;2
NP;CIP;Tengely;1
NP;CIP;Suly;1

NP;SIN;Tok;1
NP;SIN;TokFed;1
NP;SIN;Zaro;1
NP;SIN;Lab;2
NP;SIN;Tengely;1
NP;SIN;Suly;1

NP;BOW;Tok;1
NP;BOW;TokFed;1
NP;BOW;Zaro;1
NP;BOW;Bowden;1
NP;BOW;Tengely;1
NP;BOW;Suly;1

ROL;ALAP;Tengely;1
ROL;ALAP;Palca;1

ROL;RUG;Tengely;1
ROL;RUG;Palca;1

ROL;TET;Tengely;1
ROL;TET;Palca;1

SR;T;Tok;1
SR;T;Tengely;1
SR;T;Zaro;1
SR;T;Palca;1

SR;TN;FelsoSin;1
SR;TN;Tengely;1
SR;TN;Zaro;1
SR;TN;Palca;1

SR;MINIT;Tok;1
SR;MINIT;Tengely;1
SR;MINIT;Zaro;1
SR;MINIT;Palca;1
SR;MINIT;Lab;2
